Hostname,Model,Serial Number,Software Version,Total Interfaces,Interfaces UP (Total),Interfaces DOWN (Total),Interfaces Disabled,Interface Operational Speed (10M),Interface Operational Speed (100M),Interface Operational Speed (1G),Interface Operational Speed (10G),Interface Media (Copper),Interface Media (SFP)
Hostname,Model,Serial Number,Software Version,Total Interfaces,Interfaces UP (Total),Interfaces DOWN (Total),Interfaces Disabled,Interface Operational Speed (10M),Interface Operational Speed (100M),Interface Operational Speed (1G),Interface Operational Speed (10G),Interface Media (Copper),Interface Media (SFP)
R1,C8000V,9V5WSCW6XB8,17.6.1a,25,1,0,24,0,0,1,0,0,25
